ErrorCode;ErrorMessage;ErrorType;HTTPStatusCode;APIname
ESB.LEHF.000001;[ERROR] System Exception ;System;500;LEHF
ESB.LEHF.000002;[ERROR] Business Exception ;Business;400;LEHF
